case_id,layer,load,seed,status,key_metrics,evidence
P1-c2-paused-text-reconnect,TextViewModel.restoreOnConnect,"20 carrier drop/reconnect cycles, 250 ms observation each, board paused at 4",-,PASS,cycles=20;details=;drifted_cycles=0;reconnects=20,StressOwnershipTests/testP1_c2_PausedTextSessionDoesNotAdvanceAcrossReconnects | logs/ios/08_ownership.log
P1-c-takeover-queued,BoardPlaybackCoordinator + BoardConnection.setFrame,"49 directions (42 switches + 7 restarts) x 100 loops, concurrent connections",-,PASS,examples=;failures=0;iterations=4900;matrix_wall_s=37.466;old_setFrame_returned_ok=0;old_writes_after_takeover=0,StressOwnershipTests/testP1_c_TakeoverMatrix | logs/ios/12_ownership_matrix.log
P1-c-takeover-writing,BoardPlaybackCoordinator + BoardConnection.setFrame,"49 directions (42 switches + 7 restarts) x 100 loops, concurrent connections",-,PASS,examples=;failures=0;iterations=4900;matrix_wall_s=37.466;old_setFrame_returned_ok=0;old_writes_after_takeover=0,StressOwnershipTests/testP1_c_TakeoverMatrix | logs/ios/12_ownership_matrix.log
P1-c-takeover-awaitingAck,BoardPlaybackCoordinator + BoardConnection.setFrame,"49 directions (42 switches + 7 restarts) x 100 loops, concurrent connections",-,PASS,examples=;failures=0;iterations=4900;matrix_wall_s=37.466;old_setFrame_returned_ok=0;old_writes_after_takeover=0,StressOwnershipTests/testP1_c_TakeoverMatrix | logs/ios/12_ownership_matrix.log
P1-c-takeover-ackQueued,BoardPlaybackCoordinator + BoardConnection.setFrame,"49 directions (42 switches + 7 restarts) x 100 loops, concurrent connections",-,PASS,examples=;failures=0;iterations=4900;matrix_wall_s=37.466;old_setFrame_returned_ok=0;old_writes_after_takeover=0,StressOwnershipTests/testP1_c_TakeoverMatrix | logs/ios/12_ownership_matrix.log
P1-c-takeover-ackRouted,BoardPlaybackCoordinator + BoardConnection.setFrame,"49 directions (42 switches + 7 restarts) x 100 loops, concurrent connections",-,PASS,examples=;failures=0;iterations=4900;matrix_wall_s=37.466;old_setFrame_returned_ok=0;old_writes_after_takeover=0,StressOwnershipTests/testP1_c_TakeoverMatrix | logs/ios/12_ownership_matrix.log
CRASH-1-text-send-bitmap-begin-overflow,TextViewModel.send -> BoardConnection.startScrollBitmapUpload (BoardConnection.swift:941) -> RinaLinkEncoder precondition (RinaLinkCodec.swift:30),"text 'Rina'+ZWJ x1364 (4096 UTF-8 bytes, 55 frames, passes rasterizer)",-,FAIL,crash_report=logs/ios/crash_text_bitmap_begin_overflow.ips;result=Precondition failed: payload (4305 bytes) exceeds maxPayloadBytes (4096); host app trapped,StressCrashReproTests/testCrashRepro_TextSendBitmapBeginOverflow | logs/ios/99_manual_rows.log
CRASH-2-face-reorder-overflow,"BoardConnection.faceReorder/sendFaceOp (BoardConnection.swift:976,994) -> RinaLinkEncoder precondition",face_reorder with 128 ids of 42 chars (local_<uuid> style),-,FAIL,crash_report=logs/ios/crash_face_reorder_overflow.ips;reachability=unverified: needs board document with long ids (e.g. imported faces JSON); board-assigned custom_<base36> ids fit (128 ids = 2334 B);result=Precondition failed: payload (5790 bytes) exceeds maxPayloadBytes (4096); host app trapped,StressCrashReproTests/testCrashRepro_FaceReorderOverflow | logs/ios/99_manual_rows.log
OBS-a-presetlive-no-resume-after-reconnect,PresetLiveView/PresetLiveModel,static (host repro needs licensed audio + AVAudioPlayer playback),-,BLOCKED,static_evidence=RootTabView.swift:120 (REPO: same block) calls performance.suspendBoardOutput() on every connection-generation change; PresetLiveModel.needsBoardResume (PresetLiveModel.swift:109) becomes true; no caller of PresetLiveModel.resumeBoardOutput exists (grep) while VideoPlayerView.swift:212-214 offers the resume button; PresetLiveView.swift:61 only shows '仅本地预览',grep resumeBoardOutput ios/RinaBoard | logs/ios/99_manual_rows.log
OBS-c-ble-rssi-never-refreshed-when-connected,BLETransport,static (CoreBluetooth peripheral not available on host),-,BLOCKED,"static_evidence=rssi only written in didDiscover (BLETransport.swift:623,630); connect path calls stopScan() (BLETransport.swift:325) so no more advertisements; no readRSSI()/peripheral(_:didReadRSSI:) anywhere in ios/RinaBoard",grep readRSSI ios/RinaBoard | logs/ios/99_manual_rows.log
