case_id,source,preconditions,steps,expected,status,environment,evidence,actual_result,remaining_or_blocker
FACE-013,FEATURE_CASES.md:123,任一有效项,“创建副本”连续执行三次,同库新增副本；命名为“副本”“副本 2”…且帧/部件信息保持,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:123（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-014,FEATURE_CASES.md:124,已连接,本机→面板、面板→本机各复制一项,目标库新增可编辑副本；来源不变；跨库名称冲突生成稳定后缀,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-015,FEATURE_CASES.md:125,可删除本机项,删除并取消；再次删除确认；点撤销,取消无变化；确认后从列表消失并出现撤销条；撤销恢复全部数据,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1642#testFailedUndoRetainsRetryAndSuccessfulRetrySurvivesRestart,部分自动化证据：撤销失败保留重试并重启恢复通过；确认取消和撤销条UI未覆盖；testFailedUndoRetainsRetryAndSuccessfulRetrySurvivesRestart=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-016,FEATURE_CASES.md:126,可删除面板项,删除并确认,文案明确永久删除；成功后无撤销条；失败保留项及错误,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-017,FEATURE_CASES.md:127,多选含默认和可删除项,进入选择；选多项；执行复制、导出、删除,底栏图标有可理解辅助标签；默认项不删除；成功项从选择集移除；部分失败显示成功/失败数量并保留失败项,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1634#testBatchCopyReportsInvalidItemAndPersistsOnlySuccessfulCopies,部分自动化证据：合法/非法项批量复制部分失败统计及落盘通过；多选UI/导出/删除未覆盖；testBatchCopyReportsInvalidItemAndPersistsOnlySuccessfulCopies=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-018,FEATURE_CASES.md:128,至少 2 个用户表情,打开排序；拖动和 VoiceOver 上移/下移；取消,默认项不参与；取消放弃草稿顺序；原列表不变,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:128（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-019,FEATURE_CASES.md:129,至少 2 个用户表情,排序后点完成；保存期间尝试下拉关闭,成功后提交完整顺序并关闭；保存期间不能交互关闭；列表变化导致草稿过期时显示错误不误提交,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1640#testFailedReorderPreservesPublishedAndPersistedOrder,部分自动化证据：排序失败时发布列表及磁盘不变通过；拖动/关闭与成功提交UI未覆盖；testFailedReorderPreservesPublishedAndPersistedOrder=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-020,FEATURE_CASES.md:130,DATA-FACE,导出单个、所选、全部；检查 JSON,文件名安全；只含指定表情；帧可解码；不修改库,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1655#testSelectedExportImportsIntoAnotherLibraryAndSurvivesRestart,部分自动化证据：所选导出/导入真实磁盘往返通过；单个/全部文件名及分享UI未覆盖；testSelectedExportImportsIntoAnotherLibraryAndSurvivesRestart=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-021,FEATURE_CASES.md:131,有效/无效 JSON,分别导入本机；记录导入前后,有效项作为新本机副本加入；无效/空/坏帧拒绝并保留旧库,失败,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1655#testSelectedExportImportsIntoAnotherLibraryAndSurvivesRestart; evidence/frozen-baseline.log:1644#testInvalidFrameInImportRejectsWholeDocumentWithoutChangingDisk; evidence/frozen-baseline.log:1649#testOutOfRangeImportedByteIsRejectedInsteadOfChangingTheFrame; evidence/frozen-baseline.log:1638#testFailedImportLeavesExistingLibraryIntactAfterRestart,部分自动化证据：有效往返、短帧整批拒绝、写失败保原库通过；非法byte=256导入未拒绝，已确认失败反例；空JSON等其余步骤未执行；testSelectedExportImportsIntoAnotherLibraryAndSurvivesRestart=通过；testInvalidFrameInImportRejectsWholeDocumentWithoutChangingDisk=通过；testOutOfRangeImportedByteIsRejectedInsteadOfChangingTheFrame=失败；testFailedImportLeavesExistingLibraryIntactAfterRestart=通过,已执行步骤违反明确预期；其余步骤未测试，仍须补验；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-022,FEATURE_CASES.md:132,已连接与未连接各一次,向面板导入有效文档；制造失败,未连接明确拒绝；成功后重新读取；失败时错误可见且旧库可恢复,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-023,FEATURE_CASES.md:133,面板库详情打开,断开或换板,详情变“表情已不可用”，说明可能删除/更换面板；不会操作旧 ID,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
TEXT-001,FEATURE_CASES.md:139,全新启动,打开文字；聚焦编辑器并输入/换行；点键盘“完成”,默认文字可见；占位符仅空时显示；聚焦时预览隐藏以让出空间；键盘可收起,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:139（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
TEXT-002,FEATURE_CASES.md:140,DATA-TEXT,输入中英日、emoji、换行；观察字符/字节,可见字符计数与 UTF-8 字节分别正确；不会悄悄截断到 4096 字节,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,FEATURE_CASES.md:140（仅用例定义，无运行证据）; evidence/models-retry.log:140#testEditingMultilingualDraftPreservesEmojiAndLineBreaks; evidence/models-retry.log:142#testEditingRetainsOverByteLimitDraftAndExposesExactBoundary; evidence/models-retry.log:138#testEditingEnforcesVisibleLimitWithoutSplittingEarlierContent,无完整运行证据；静态设计不计通过；离线模型子项testEditingMultilingualDraftPreservesEmojiAndLineBreaks通过；不证明触摸/触感/UI/真实循环与面板时序；离线模型子项testEditingRetainsOverByteLimitDraftAndExposesExactBoundary通过；不证明触摸/触感/UI/真实循环与面板时序；离线模型子项testEditingEnforcesVisibleLimitWithoutSplittingEarlierContent通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期
TEXT-003,FEATURE_CASES.md:141,空/全空格/超过字节上限,查看并尝试发送,主按钮禁用或返回明确错误；超限边框、字节数、说明为红色；旧播放不被新无效草稿破坏,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,FEATURE_CASES.md:141（仅用例定义，无运行证据）; evidence/models-retry.log:144#testInvalidSendDoesNotReplaceExistingBindingOrOutputOwner; evidence/models-retry.log:142#testEditingRetainsOverByteLimitDraftAndExposesExactBoundary; evidence/models-retry.log:138#testEditingEnforcesVisibleLimitWithoutSplittingEarlierContent,无完整运行证据；静态设计不计通过；离线模型子项testInvalidSendDoesNotReplaceExistingBindingOrOutputOwner通过；不证明触摸/触感/UI/真实循环与面板时序；离线模型子项testEditingRetainsOverByteLimitDraftAndExposesExactBoundary通过；不证明触摸/触感/UI/真实循环与面板时序；离线模型子项testEditingEnforcesVisibleLimitWithoutSplittingEarlierContent通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期
TEXT-004,FEATURE_CASES.md:142,已连接且无绑定时间轴,输入短文；点“发送并播放”,生成/上传/启动进度可见；成功后按钮变“更新并播放”；预览开始并显示上传摘要,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
TEXT-005,FEATURE_CASES.md:143,已有绑定时间轴,修改草稿并点“更新并播放”,新内容替换播放；上传中禁用重复提交；旧帧/迟到响应不覆盖新时间轴,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
TEXT-006,FEATURE_CASES.md:144,正在播放,点暂停、继续、停止并清屏；快速交替暂停/继续,暂停/继续文案跟随固件状态；250 ms 锁防重复；停止后清屏并解除绑定，主按钮回发送,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
TEXT-007,FEATURE_CASES.md:145,时间轴已绑定,展开高级详情；上一帧/下一帧,连接和绑定时启用；单步后帧号/预览同步；首尾行为符合固件且不越界,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
TEXT-008,FEATURE_CASES.md:146,播放中,拖动速度到最小、最大及中间；快速往返,请求值按协议范围/整数显示；面板实时调速合并到最新值；实际 fps 与请求值分开显示,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
TEXT-009,FEATURE_CASES.md:147,播放中,观察 60 秒；暂停/单步/恢复,手机预览使用面板测量速度和相位；锁定状态可为自由/微调/追赶/锁定；漂移不会持续扩大,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
TEXT-010,FEATURE_CASES.md:148,本地有未发送草稿，面板有不同可恢复文字,连接/重连；分别点“保留草稿”“使用面板文字”,出现冲突提示；前者保留本地，后者采用面板；无静默覆盖,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）; evidence/models-retry.log:134#testConflictChoicesKeepDraftOrExplicitlyAdoptBoardText,无完整运行证据；静态设计不计通过；离线模型子项testConflictChoicesKeepDraftOrExplicitlyAdoptBoardText通过；不证明触摸/触感/UI/真实循环与面板时序,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
TEXT-011,FEATURE_CASES.md:149,本地无编辑草稿，面板有兼容元数据,连接,自动重建时间轴、恢复面板文字/速度/帧；元数据不兼容时不伪造恢复,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
TEXT-012,FEATURE_CASES.md:150,草稿和速度已改,后台/终止/重启,原子恢复文字和速度；错误显示但页面可继续编辑,未测试,冻结产品；iPhone SE第3代 / iOS26.5模拟器 / zh-Hans；修订定位harness；另iPhone17Pro/iOS27,evidence/frozen-baseline.log:1730#testMissingDraftReturnsNilAndAtomicWriteCanBeReplaced; evidence/se.log:892; evidence/ios27.log:994,部分自动化证据：DraftStorage临时目录原子写替换通过；不证明实际控制/文字模型恢复、文件损坏与UI写失败；testMissingDraftReturnsNilAndAtomicWriteCanBeReplaced=通过；真实TextEditor输入中英日emoji换行，后台及重启恢复文字通过；速度/控制草稿/存储失败等原用例剩余步骤未测,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过
TEXT-013,FEATURE_CASES.md:151,播放中,切到控制发送、口型开始、演出播放或 Debug 发送,新输出会话接管；文字预览/绑定状态不会被迟到旧响应错误恢复；控制中心显示当前输出,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）; evidence/models-retry.log:146#testReleaseOutputClearsPlaybackBindingAndPhaseButKeepsUnsentDraft,无完整运行证据；静态设计不计通过；离线模型子项testReleaseOutputClearsPlaybackBindingAndPhaseButKeepsUnsentDraft通过；不证明触摸/触感/UI/真实循环与面板时序,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
TEXT-014,FEATURE_CASES.md:152,播放中,断开、重连、后台前台,断开暂停本地预览循环；后台不空转；重连仅在身份/元数据一致时恢复,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）; evidence/models-retry.log:136#testDisconnectedSendKeepsDraftAndDoesNotLeaveRetryLocked,无完整运行证据；静态设计不计通过；离线模型子项testDisconnectedSendKeepsDraftAndDoesNotLeaveRetryLocked通过；不证明触摸/触感/UI/真实循环与面板时序,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-001,FEATURE_CASES.md:158,未连接,打开口型,开始按钮禁用；说明需先连接；高级设置仍可查看,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:158（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
LIP-002,FEATURE_CASES.md:159,真机已连接，麦克风权限未决定,点开始；允许权限,只出现一次系统请求；只创建一条采集循环；按钮变停止；音量/元音读数出现,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-003,FEATURE_CASES.md:160,权限请求弹出,连点开始；权限完成前切页或断线,不启动双循环；离页/断线使旧请求失效；权限回来后不偷偷开麦,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-004,FEATURE_CASES.md:161,麦克风权限拒绝,点开始,显示拒绝说明和“打开应用设置”；无录音指示、无面板输出,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-005,FEATURE_CASES.md:162,正在运行,发静音和 a/i/u/e/o；观察手机和面板,音量条、阈值、原始猜测与平滑结果更新；预览/面板嘴型一致；相同结果不重复发帧,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-006,FEATURE_CASES.md:163,正在运行,点停止,始终可停止；麦克风释放、指标归零、嘴闭合；在线时向面板推闭嘴帧,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-007,FEATURE_CASES.md:164,正在运行,断开面板,麦克风最终释放（根连接监听）；不会因按钮禁用而无法停止；错误/状态不冒充仍同步,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-008,FEATURE_CASES.md:165,正在运行,锁屏/后台；接电话或音频会话改变,立即停止并释放麦克风；返回前台不自动重启,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-009,FEATURE_CASES.md:166,停止状态,调灵敏度 -70/-10、刷新 10/60 Hz、防抖 1/12,数值准确、边界不可越；重启后保留；运行/校准时全部锁定,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:166（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
LIP-010,FEATURE_CASES.md:167,已校准至少一个元音,切换标准/男声/女声/动画模型,参考模型切换并清除旧校准；页内说明明确这一行为；无运行中切换,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:167（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
LIP-011,FEATURE_CASES.md:168,停止，权限允许,对单个元音点校准，持续发声约 1.5 s,进度连续；成功出现已校准标记并持久化；采集结束自动关麦,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-012,FEATURE_CASES.md:169,正在校准,点取消；再测试声音过小,取消立即停采集并清进度；采样不足显示可行动错误，不写入坏配置,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-013,FEATURE_CASES.md:170,麦克风权限未决定/拒绝,不先开始同步，直接校准,权限路径有明确系统请求或明确错误；不出现无反馈卡住；不残留录音,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
LIP-014,FEATURE_CASES.md:171,已有多项校准,点“恢复默认声音模型”,运行/校准时禁用；确认执行后校准标记清空并恢复当前 preset 合成模型,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:171（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
LIP-015,FEATURE_CASES.md:172,部件库可用,进入“口型与造型”；分别修改静音、五元音、左右眼、脸颊,每个选择立即更新预览和选择态；非嘴部在同步期间固定；返回后设置保留,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:172（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
LIP-016,FEATURE_CASES.md:173,自定义口型,点恢复默认；终止重启,默认映射恢复；持久化值经过部件库清洗，不引用不存在 ID,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:173（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
LIVE-001,FEATURE_CASES.md:179,全新启动,打开演出,恢复上次模式；否则选择首个可载入内置演出；若没有可用选择则显示演示脚本/缺音频状态,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1666#testCustomScriptAndAudioRestoreIntoANewModelInstance,部分自动化证据：独立偏好/临时文件的新模型恢复通过；页面选择/首次缺素材与模式切换步骤未覆盖；testCustomScriptAndAudioRestoreIntoANewModelInstance=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过
LIVE-002,FEATURE_CASES.md:180,内置目录可用,打开歌曲列表和各详情,显示标题、艺人、时长、关键帧、来源、音频状态；当前选项有非颜色选中标记,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:180（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
LIVE-003,FEATURE_CASES.md:181,未选中的内置歌曲,点“使用此演出”,成功后回主演出页；脚本、首帧、时长和选择一致；选择持久化,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:181（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
LIVE-004,FEATURE_CASES.md:182,选中歌曲缺音频,从主页面和详情分别导入有效音频,显示明确缺音频状态；导入验证并复制后才启用播放；该音频只关联此歌曲,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1678#testImportedAudioRemainsAssociatedWithItsOwnBuiltInPerformance,部分自动化证据：歌曲音频归属隔离通过；主页面/详情两入口UI未覆盖；testImportedAudioRemainsAssociatedWithItsOwnBuiltInPerformance=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
LIVE-005,FEATURE_CASES.md:183,已有歌曲音频,导入损坏音频或导入期间切换歌曲,导入失败/选择改变有错误；原音频、脚本、预览保持；临时副本不成为活动素材,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1690#testInvalidBuiltInAudioReplacementKeepsTheOldPerSongAssociation,部分自动化证据：损坏内置音频替换保留旧关联通过；导入期间切歌未覆盖；testInvalidBuiltInAudioReplacementKeepsTheOldPerSongAssociation=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过
